file_names,clothing_category,texture,fabric,fit
Floral_Print_Shirt_Dress-img_00000065.jpg,41,1 0 0 0 0 0 0 ,0 0 1 0 0 0 ,1 0 0 
Butterfly_Sleeve_Sheath_Dress-img_00000034.jpg,41,0 0 0 0 1 0 0 ,0 1 0 0 0 0 ,0 0 1 
Marled_Crochet-Back_Sweater-img_00000038.jpg,16,0 0 0 0 0 1 0 ,0 0 0 0 0 1 ,0 0 1 
Sunburst_Print_Swim_Trunks-img_00000008.jpg,36,1 0 0 0 0 0 0 ,0 0 1 0 0 0 ,0 0 1 
Collared_Surplice_Blouse-img_00000022.jpg,3,0 0 0 0 0 1 0 ,0 1 0 0 0 0 ,0 0 1 
Island_Graphic_Boxy_Tee-img_00000002.jpg,18,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,0 0 1 
V-Neck_Velveteen_Bodycon_Dress-img_00000018.jpg,41,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,1 0 0 
Chiffon_Shift_Dress-img_00000084.jpg,41,0 0 0 0 0 1 0 ,0 1 0 0 0 0 ,0 0 1 
Structured_Pleated_A-Line_Dress-img_00000026.jpg,41,0 0 0 0 1 0 0 ,0 1 0 0 0 0 ,0 0 1 
Bandage_Bodycon_Dress-img_00000047.jpg,41,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,1 0 0 
Crochet-Trimmed_Maxi_Dress-img_00000063.jpg,41,1 0 0 0 0 0 0 ,0 1 0 0 0 0 ,0 0 1 
Low-Rise_-_Distressed_Skinny_Jeans-img_00000065.jpg,26,0 0 0 0 0 1 0 ,1 0 0 0 0 0 ,1 0 0 
Longline_Side-Slit_Blazer-img_00000066.jpg,2,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,0 0 1 
Asymmetrical_Twist-Front_Top-img_00000001.jpg,19,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,0 0 1 
Paint_It_Red_Lace_Midi_Dress-img_00000051.jpg,41,0 0 0 0 1 0 0 ,0 1 0 0 0 0 ,0 0 1 
Shredded_Back_Midi_Dress-img_00000025.jpg,41,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,1 0 0 
Heathered_Knit_Cocoon_Jacket-img_00000023.jpg,11,0 0 0 0 0 1 0 ,0 0 0 0 1 0 ,0 0 1 
Striped_Shirt_Dress-img_00000040.jpg,41,0 0 1 0 0 0 0 ,0 0 1 0 0 0 ,0 0 1 
Floral_Print_Tee-img_00000037.jpg,18,1 0 0 0 0 0 0 ,0 0 1 0 0 0 ,0 0 1 
Marled_Knee-Length_Shorts-img_00000029.jpg,32,0 0 0 0 0 0 1 ,0 0 1 0 0 0 ,0 0 1 
Checkered_Metallic_Dress-img_00000051.jpg,41,0 1 0 0 0 0 0 ,0 0 1 0 0 0 ,1 0 0 
Tile_Print_Blouse-img_00000004.jpg,3,1 0 0 0 0 0 0 ,0 0 1 0 0 0 ,0 0 1 
Eiffel_Tower_Graphic_Linen_Tee-img_00000019.jpg,18,0 1 0 0 0 0 0 ,0 0 1 0 0 0 ,0 0 1 
Layered_Sleeveless_Dress-img_00000083.jpg,41,0 0 0 0 1 0 0 ,0 1 0 0 0 0 ,0 0 1 
Classic_Midi_Dress-img_00000025.jpg,41,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,1 0 0 
Abstract_Print_Maxi_Dress-img_00000044.jpg,41,1 0 0 0 0 0 0 ,0 0 1 0 0 0 ,0 0 1 
Paisley_Print_Cami_Dress-img_00000026.jpg,41,0 1 0 0 0 0 0 ,0 0 1 0 0 0 ,0 0 1 
High-Waisted_Rose_Print_Shorts-img_00000007.jpg,32,1 0 0 0 0 0 0 ,0 0 1 0 0 0 ,0 0 1 
Linen-Blend_Shorts-img_00000018.jpg,32,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,0 0 1 
Mixed_Print_Maxi_Dress-img_00000027.jpg,41,1 0 0 0 0 0 0 ,0 1 0 0 0 0 ,0 0 1 
Chiffon-Trimmed_Jumpsuit-img_00000033.jpg,42,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,0 0 1 
Arrow-Printed_Tee-img_00000001.jpg,18,0 1 0 0 0 0 0 ,0 0 1 0 0 0 ,0 1 0 
Longline_Floral_Lace_Cardigan-img_00000010.jpg,6,0 0 0 1 0 0 0 ,0 1 0 0 0 0 ,0 0 1 
Metallic_Slip_Dress-img_00000048.jpg,41,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,0 0 1 
Cutout-Back_Midi_Dress-img_00000066.jpg,41,0 0 0 0 0 1 0 ,0 0 1 0 0 0 ,1 0 0 
Twist_Cutout_Back_Dress-img_00000022.jpg,41,0 0 0 0 1 0 0 ,0 1 0 0 0 0 ,0 0 1 
Heathered_Knit_Dress-img_00000033.jpg,41,0 1 0 0 0 0 0 ,0 0 1 0 0 0 ,0 0 1 
