imdbID	Genre	Country
tt0079285	Adventure	UK
tt0079302	Comedy	USA
tt0080339	Comedy	USA
tt0080360	Horror	USA
tt0080365	Crime	USA
tt0080377	Action	USA
tt0080402	Horror	UK
tt0080437	Drama	USA
tt0080442	Crime	USA
tt0080453	Adventure	USA
tt0080455	Action	USA
tt0080461	Animation	USA
tt0080469	Drama	UK
tt0080472	Action	USA
tt0080474	Drama	USA
tt0080487	Comedy	USA
tt0080500	Drama	USA
tt0080520	Comedy	USA
tt0080549	Biography	USA
tt0080550	Comedy	USA
tt0080556	Drama	USA
tt0080569	Crime	USA
tt0080634	Documentary	USA
tt0080661	Mystery	USA
tt0080678	Biography	USA
tt0080684	Action	USA
tt0080724	Comedy	USA
tt0080731	Comedy	USA
tt0080736	Action	USA
tt0080739	Comedy	USA
tt0080745	Action	UK
tt0080749	Fantasy	USA
tt0080754	Crime	West Germany
tt0080756	Drama	USA
tt0080762	Documentary	USA
tt0080790	Comedy	USA
tt0080798	Crime	USA
tt0080808	Comedy	USA
tt0080850	Horror	USA
tt0080854	Drama	USA
tt0080855	Adventure	USA
tt0080861	Adventure	USA
tt0080863	Comedy	USA
tt0080868	Drama	USA
tt0080881	Comedy	USA
tt0080888	Music	USA
tt0080907	Action	USA
tt0080913	Biography	USA
tt0080948	Drama	USA
tt0080975	Comedy	USA
tt0080979	Drama	Japan
tt0081031	Adventure	USA
tt0081032	Comedy	USA
tt0081044	Romance	USA
tt0081060	Comedy	USA
tt0081063	Comedy	USA
tt0081071	Western	USA
tt0081080	Comedy	USA
tt0081150	Comedy	USA
tt0081159	Family	USA
tt0081163	Crime	UK
tt0081184	Comedy	USA
tt0081207	Comedy	USA
tt0081235	Biography	USA
tt0081249	Comedy	USA
tt0081259	Action	USA
tt0081268	Comedy	USA
tt0081269	Comedy	USA
tt0081280	Drama	USA
tt0081283	Drama	USA
tt0081334	Drama	Canada
tt0081353	Adventure	USA
tt0081375	Comedy	USA
tt0081383	Horror	Canada
tt0081398	Biography	USA
tt0081414	Drama	USA
tt0081433	Comedy	USA
tt0081439	Adventure	USA
tt0081480	Comedy	USA
tt0081485	Comedy	USA
tt0081505	Drama	USA
tt0081528	Drama	USA
tt0081529	Action	USA
tt0081534	Drama	USA
tt0081554	Comedy	USA
tt0081562	Comedy	USA
tt0081568	Action	USA
tt0081625	Comedy	USA
tt0081633	Adventure	UK
tt0081656	Comedy	Canada
tt0081696	Drama	USA
tt0081698	Comedy	USA
tt0081747	Action	Canada
tt0081748	Biography	USA
tt0081751	Comedy	USA
tt0081758	Comedy	USA
tt0081759	Drama	USA
tt0081777	Fantasy	USA
tt0081964	Comedy	USA
tt0081974	Drama	USA
tt0082001	Comedy	USA
tt0082010	Comedy	UK
tt0082031	Comedy	USA
tt0082042	Adventure	USA
tt0082085	Drama	USA
tt0082089	Crime	USA
tt0082111	Comedy	USA
tt0082121	Comedy	USA
tt0082136	Action	USA
tt0082138	Comedy	USA
tt0082146	Comedy	USA
tt0082158	Biography	UK
tt0082193	Western	Italy
tt0082200	Comedy	USA
tt0082220	Crime	USA
